#{"t_start": 1778267186.480947, "env_id": "None"}
r,l,t
-100.0,50,22.300511
700.0,27,22.321044
700.0,3,22.323202
0.0,50,22.357338
700.0,35,22.381455
700.0,29,22.401044
700.0,4,22.404031
700.0,24,22.420502
700.0,31,22.441465
700.0,31,22.462429
-200.0,50,22.49644
100.0,50,22.963702
100.0,50,23.000216
700.0,30,23.021465
700.0,37,23.049032
-200.0,50,23.086451
0.0,50,23.12276
-300.0,50,23.161448
0.0,50,23.202074
700.0,33,23.227546
700.0,25,23.244092
0.0,50,23.277824
-100.0,50,23.311674
700.0,21,23.326258
-200.0,50,23.3599
0.0,50,23.394258
700.0,4,23.397206
700.0,40,23.425244
-100.0,50,23.459009
700.0,39,23.486106
-100.0,50,23.519461
700.0,12,23.528775
700.0,23,23.544681
700.0,25,23.561824
0.0,50,23.595673
700.0,28,23.614774
700.0,19,23.627861
700.0,4,23.630648
700.0,31,23.651438
-200.0,50,24.167202
700.0,3,24.169943
700.0,4,24.173381
700.0,29,24.195542
700.0,20,24.210962
700.0,15,24.222335
-100.0,50,24.260835
700.0,4,24.264557
-100.0,50,24.301423
700.0,49,24.336694
100.0,50,24.369862
-200.0,50,24.40334
-100.0,50,24.439859
0.0,50,24.473069
700.0,3,24.475658
0.0,50,24.509134
700.0,38,24.536874
700.0,20,24.550968
-100.0,50,24.592169
700.0,3,24.596258
-100.0,50,25.203147
700.0,33,25.234782
-100.0,50,25.287741
700.0,48,25.338764
700.0,5,25.344677
700.0,44,25.390341
-200.0,50,25.444633
700.0,50,25.497751
-100.0,50,25.549329
700.0,30,26.100806
700.0,15,26.115057
100.0,50,26.151704
700.0,16,26.163482
-100.0,50,26.205244
700.0,4,26.209102
700.0,24,26.229111
700.0,20,26.245577
700.0,41,26.283285
700.0,22,26.301036
700.0,3,26.303316
700.0,38,26.332786
700.0,6,26.337449
-200.0,50,26.373422
-100.0,50,26.409244
-100.0,50,26.4442
700.0,15,26.455021
700.0,44,26.485629
700.0,46,26.516437
100.0,50,26.550622
700.0,11,26.55872
0.0,50,26.59428
700.0,26,26.612869
-200.0,50,26.647188
0.0,50,26.681624
700.0,23,26.697225
700.0,28,26.716439
-100.0,50,26.750395
700.0,38,26.776036
700.0,21,26.790816
700.0,5,26.7954
700.0,30,26.818909
700.0,22,26.834188
-300.0,50,27.316963
700.0,30,27.338254
-200.0,50,27.372929
700.0,9,27.380041
-200.0,50,27.414504
700.0,5,27.418317
-200.0,50,27.452715
700.0,6,27.457301
700.0,26,27.475404
700.0,38,27.501978
700.0,13,27.512647
700.0,12,27.521856
-100.0,50,27.556851
700.0,4,27.559812
-200.0,50,27.593717
700.0,48,27.625907
-100.0,50,27.660635
0.0,50,27.695841
700.0,9,27.70221
700.0,8,27.707823
700.0,33,28.146347
700.0,8,28.152174
700.0,11,28.159858
700.0,33,28.182916
700.0,18,28.195134
700.0,41,28.22343
700.0,3,28.225712
700.0,4,28.228554
700.0,8,28.234122
700.0,16,28.244884
700.0,3,28.247024
700.0,17,28.258892
-200.0,50,28.29303
700.0,5,28.296722
700.0,40,28.323766
700.0,49,28.35723
-300.0,50,28.391968
700.0,30,28.41251
700.0,33,28.867162
-100.0,50,28.900972
700.0,45,28.93163
700.0,24,28.948035
700.0,12,28.9566
-200.0,50,28.990921
700.0,14,29.000837
700.0,28,29.02026
-200.0,50,29.055977
700.0,6,29.060509
-100.0,50,29.094702
700.0,6,29.098877
700.0,6,29.102679
700.0,4,29.105511
0.0,50,29.140363
700.0,17,29.152243
100.0,50,29.186803
700.0,42,29.218119
-100.0,50,29.253916
-300.0,50,29.289612
700.0,8,29.295614
0.0,50,29.329582
700.0,4,29.332604
700.0,20,29.34629
700.0,14,29.355692
-100.0,50,29.389091
700.0,31,29.410346
-300.0,50,29.444449
0.0,50,29.478855
-100.0,50,29.512293
700.0,27,29.531454
700.0,3,29.533683
0.0,50,30.021334
700.0,5,30.025349
0.0,50,30.06183
700.0,45,30.095437
700.0,23,30.111609
700.0,46,30.143378
700.0,30,30.164326
700.0,3,30.166534
700.0,15,30.177087
0.0,50,30.213462
700.0,21,30.227748
700.0,12,30.237457
-200.0,50,30.272336
-200.0,50,30.306694
700.0,16,30.31812
700.0,25,30.336418
700.0,26,30.354741
700.0,3,30.356925
700.0,19,30.369779
700.0,17,30.381341
700.0,3,30.383561
-100.0,50,30.442479
700.0,17,30.45468
700.0,18,30.467853
0.0,50,30.502654
700.0,3,30.505053
700.0,7,30.51016
700.0,49,30.543974
-300.0,50,30.581107
700.0,3,30.583391
-100.0,50,30.618016
700.0,16,30.629746
700.0,3,30.631906
100.0,50,30.665156
700.0,26,30.682761
700.0,13,30.691813
-200.0,50,30.726431
700.0,14,30.736132
700.0,12,30.74425
100.0,50,31.212556
700.0,11,31.22041
700.0,11,31.229221
700.0,8,31.236028
700.0,6,31.240336
700.0,13,31.249539
700.0,18,31.262441
700.0,5,31.266253
100.0,50,31.301927
0.0,50,31.341031
700.0,7,31.34636
700.0,23,31.363737
-300.0,50,31.401412
700.0,29,31.4228
700.0,3,31.425232
700.0,31,31.447014
700.0,23,31.464587
700.0,13,31.473728
0.0,50,31.507977
100.0,50,31.541805
700.0,43,31.571286
700.0,3,31.573522
-100.0,50,31.609884
700.0,4,31.612836
700.0,3,31.615049
700.0,3,31.617219
700.0,16,31.628237
700.0,3,31.630392
700.0,7,31.635146
700.0,17,31.646464
700.0,4,31.649244
700.0,13,31.657949
700.0,4,31.660754
700.0,4,31.66351
-200.0,50,31.697273
700.0,8,31.703153
700.0,41,31.730755
-200.0,50,31.764367
700.0,45,31.796761
700.0,5,31.800443
100.0,50,31.834653
700.0,3,31.837132
-100.0,50,31.870438
700.0,17,31.883309
700.0,4,31.886138
700.0,43,31.915545
700.0,4,31.918344
700.0,31,32.368928
700.0,21,32.384049
100.0,50,32.419183
100.0,50,32.45702
700.0,45,32.492064
700.0,37,32.519207
700.0,18,32.53215
700.0,22,32.547787
700.0,28,32.567372
100.0,50,32.60308
700.0,24,32.621963
700.0,3,32.625052
700.0,4,32.6285
700.0,5,32.6321
700.0,3,32.634253
700.0,33,32.656994
700.0,12,32.665065
700.0,30,32.720489
-100.0,50,32.815315
700.0,25,32.842686
700.0,6,32.848919
700.0,3,32.852015
700.0,4,32.857803
700.0,34,32.893633
700.0,15,32.907326
100.0,50,32.948689
-200.0,50,32.985743
700.0,21,33.001224
700.0,5,33.006079
700.0,40,33.04404
100.0,50,33.093301
700.0,3,33.096532
700.0,3,33.099437
100.0,50,33.140651
100.0,50,33.175469
0.0,50,33.210865
0.0,50,33.248183
700.0,37,33.858137
700.0,28,33.884603
-200.0,50,33.957638
700.0,9,33.966132
700.0,8,33.97299
0.0,50,34.017415
700.0,12,34.028175
700.0,21,34.046328
-100.0,50,34.087835
700.0,35,34.127414
700.0,6,34.133182
-100.0,50,34.176796
700.0,4,34.181155
-300.0,50,34.223483
700.0,34,34.252385
700.0,41,34.282623
700.0,46,34.314358
700.0,3,34.316821
-200.0,50,34.351898
700.0,24,34.369969
700.0,3,34.372272
700.0,13,34.397701
700.0,45,34.442619
700.0,4,34.446165
700.0,3,34.448865
0.0,50,34.496525
700.0,4,34.500576
700.0,4,34.504379
700.0,22,34.523876
700.0,10,34.532946
700.0,4,34.53707
700.0,24,34.555305
700.0,3,34.557689
0.0,50,34.593324
700.0,18,34.606359
700.0,45,34.638918
700.0,19,34.658679
700.0,38,34.709383
700.0,13,34.721525
700.0,14,34.734792
700.0,22,34.751555
700.0,3,34.753778
700.0,13,34.762899
700.0,4,35.218006
700.0,46,35.250501
-100.0,50,35.285028
700.0,23,35.300681
700.0,18,35.312968
700.0,14,35.32255
700.0,36,35.34729
700.0,4,35.350228
700.0,9,35.356561
700.0,4,35.359414
700.0,11,35.368018
700.0,8,35.373887
700.0,18,35.386812
700.0,25,35.404161
700.0,35,35.430908
700.0,4,35.433864
700.0,5,35.437953
700.0,4,35.4408
700.0,4,35.443504
0.0,50,35.479578
700.0,4,35.48322
700.0,42,35.511886
700.0,15,35.522381
-100.0,50,35.585958
700.0,35,35.609929
